,Lowest CO2e abatement cost option,range,PROD_gas,FUEL_gas,DISP_gas,FLARE_gas,VENT_gas,PROD_oil,FUEL_oil,DISP_oil,FLARE_oil,VENT_oil,ReportingFacilitySubType,Month of Production,Latitude,Longitude,NEAR_DIST,PIPE_MAOP,Gauge Pressure Received(kPa),Gauge Temp. Received(C),Gross Heating Value(MJ/m3),C1 Air Free,COMPRESSOR (m3),PNEUMATICINSTRUMENT (m3),PNEAMATICPUMP (m3),FUGITIVE (m3),ROUTINEVENT (m3),WA Num,FROMFACILITYID,Leak Rate CMH,Age,Tie in?,Flare?,ventvol,ch4_ventvol,Vent_ReciCompressor,Vent_ScrewCompressor,PneuLevelControl,PneuPositioner,PneuPressureControl,PneuTransducer,PneuIntermittent,PneuPump,GlycolDehy,ProdTank,OtherEquip,VRU_CAPEX,VRU_OPEX,VRU_size,VRU_hp,Compressor_CAPEX,Pipeline_CAPEX,TieIn_CAPEX,TieIn_OPEX,GridConnect_CAPEX,GridConnect_OPEX,Flare_notcasing_CAPEX,Flare_notcasing_OPEX,casinggas_flare_CAPEX,casinggas_flare_OPEX,casinggas_tiein_CAPEX,casinggas_tiein_OPEX,Vapcombustor_CAPEX,GasBladder_CAPEX,gasstorage_pertruckcost,Generator_CAPEX,ElectricFlareInstall,VRU_feasible min?,Flare_feasible min?,CasingFlare_feasible min?,FlareCount,FlareCountRounded,CasingGasTieIn high feasible max?,CasingGasTieIn low feasible max?,VapCombCount,VapCombRounded,Gasbladdercount,Gasbladdercountrounded,numberoftrucksperday,numberoftruckspermonth_rounded,numberoftrucksperyear_rounded,VRUFlareGrid_npvCAD,VRUFlareGrid_co2enpvCAD,VRUFlareGrid_ch4npvCAD,VRUFlareGen_npvCAD,VRUFlareGen_co2enpvCAD,VRUFlareGen_ch4npvCAD,VRUTieInGrid_npvCAD,VRUTieInGrid_co2enpvCAD,VRUTieInGrid_ch4npvCAD,VRUTieInGen_npvCAD,VRUTieInGen_co2enpvCAD,VRUTieInGen_ch4npvCAD,VRUVapcombGrid_npvCAD,VRUVapcombGrid_co2enpvCAD,VRUVapcombGrid_ch4npvCAD,VRUVapcombGen_npvCAD,VRUVapcombGen_co2enpvCAD,VRUVapcombGen_ch4npvCAD,Casinggasflare_npvCAD,Casinggasflare_co2enpvCAD,Casinggasflare_ch4npvCAD,Casinggastiein_npvCAD,Casinggastiein_co2enpvCAD,Casinggastiein_ch4npvCAD,Gasbladdertruck_npvCAD,Gasbladdertruck_co2enpvCAD,Gasbladdertruck_ch4npvCAD,VRUFlareGrid_MACCCO2e,VRUFlareGen_MACCCO2e,VRUTieInGrid_MACCCO2e,VRUTieInGen_MACCCO2e,VRUVapcombGrid_MACCCO2e,VRUVapcombGen_MACCCO2e,Casinggasflare_MACCCO2e,Casinggastiein_MACCCO2e,Gasbladdertruck_MACCCO2e,VRUFlareGrid_MACCCH4,VRUFlareGen_MACCCH4,VRUTieInGrid_MACCCH4,VRUTieInGen_MACCCH4,VRUVapcombGrid_MACCCH4,VRUVapcombGen_MACCCH4,Casinggasflare_MACCCH4,Casinggastiein_MACCCH4,Gasbladdertruck_MACCCH4,Vent_ReciCompressor_CAPEX_fixed_Upper,Vent_ReciCompressor_OPEX_fixed_Upper,Vent_ReciCompressor_CAPEX_fixed_Lower,Vent_ReciCompressor_OPEX_fixed_Lower,Vent_ReciCompressor_CAPEX_fixed_Avg,Vent_ReciCompressor_OPEX_fixed_Avg,Vent_ScrewCompressor_CAPEX_fixed_Upper,Vent_ScrewCompressor_OPEX_fixed_Upper,Vent_ScrewCompressor_CAPEX_fixed_Lower,Vent_ScrewCompressor_OPEX_fixed_Lower,Vent_ScrewCompressor_CAPEX_fixed_Avg,Vent_ScrewCompressor_OPEX_fixed_Avg,PneuLevelControl_CAPEX_fixed_Upper,PneuLevelControl_OPEX_fixed_Upper,PneuLevelControl_CAPEX_fixed_Lower,PneuLevelControl_OPEX_fixed_Lower,PneuLevelControl_CAPEX_fixed_Avg,PneuLevelControl_OPEX_fixed_Avg,PneuPump_CAPEX_fixed_Upper,PneuPump_OPEX_fixed_Upper,PneuPump_CAPEX_fixed_Lower,PneuPump_OPEX_fixed_Lower,PneuPump_CAPEX_fixed_Avg,PneuPump_OPEX_fixed_Avg,PneuPositioner_CAPEX_fixed_Upper,PneuPositioner_OPEX_fixed_Upper,PneuPositioner_CAPEX_fixed_Lower,PneuPositioner_OPEX_fixed_Lower,PneuPositioner_CAPEX_fixed_Avg,PneuPositioner_OPEX_fixed_Avg,PneuTransducerSm_CAPEX_fixed_Upper,PneuTransducerSm_OPEX_fixed_Upper,PneuTransducerSm_CAPEX_fixed_Lower,PneuTransducerSm_OPEX_fixed_Lower,PneuTransducerSm_CAPEX_fixed_Avg,PneuTransducerSm_OPEX_fixed_Avg,PneuTransducerLg_CAPEX_fixed_Upper,PneuTransducerLg_OPEX_fixed_Upper,PneuTransducerLg_CAPEX_fixed_Lower,PneuTransducerLg_OPEX_fixed_Lower,PneuTransducerLg_CAPEX_fixed_Avg,PneuTransducerLg_OPEX_fixed_Avg,GlycolDehy_Flare_CAPEX_fixed_Upper,GlycolDehy_Flare_OPEX_fixed_Upper,GlycolDehy_Flare_CAPEX_fixed_Lower,GlycolDehy_Flare_OPEX_fixed_Lower,GlycolDehy_Flare_CAPEX_fixed_Avg,GlycolDehy_Flare_OPEX_fixed_Avg,GlycolDehy_Vent_CAPEX_fixed_Upper,GlycolDehy_Vent_OPEX_fixed_Upper,GlycolDehy_Vent_CAPEX_fixed_Lower,GlycolDehy_Vent_OPEX_fixed_Lower,GlycolDehy_Vent_CAPEX_fixed_Avg,GlycolDehy_Vent_OPEX_fixed_Avg,AllPneu_Elec_CAPEX_fixed_Upper,AllPneu_Elec_OPEX_fixed_Upper,AllPneu_Elec_CAPEX_fixed_Lower,AllPneu_Elec_OPEX_fixed_Lower,AllPneu_Elec_CAPEX_fixed_Avg,AllPneu_Elec_OPEX_fixed_Avg,AllPneu_Air1_CAPEX_fixed_Upper,AllPneu_Air1_OPEX_fixed_Upper,AllPneu_Air1_CAPEX_fixed_Lower,AllPneu_Air1_OPEX_fixed_Lower,AllPneu_Air2_CAPEX_fixed_Upper,AllPneu_Air2_OPEX_fixed_Upper,allpneuvents,IA1_lower_feasible max?,IA1_upper_feasible max?,IA2_upper_feasible max?,ReciComp_npvCAD,ReciComp_co2enpvCAD,ReciComp_ch4npvCAD,ScrewComp_npvCAD,ScrewComp_co2enpvCAD,ScrewComp_ch4npvCAD,PneuPositioner_npvCAD,PneuPositioner_co2enpvCAD,PneuPositioner_ch4npvCAD,PneuLevelControl_npvCAD,PneuLevelControl_co2enpvCAD,PneuLevelControl_ch4npvCAD,PneuTransducer_npvCAD,PneuTransducer_co2enpvCAD,PneuTransducer_ch4npvCAD,PneuPump_npvCAD,PneuPump_co2enpvCAD,PneuPump_ch4npvCAD,IA_npvCAD,IA_co2enpvCAD,IA_ch4npvCAD,Elec_npvCAD,Elec_co2enpvCAD,Elec_ch4npvCAD,GDFlare_npvCAD,GDFlare_co2enpvCAD,GDFlare_ch4npvCAD,GDVent_npvCAD,GDVent_co2enpvCAD,GDVent_ch4npvCAD,IA_MACCCO2e,Elec_MACCCO2e,pneu_components_npv,pneu_components_co2enpv,pneu_components_MACCCO2e,GD_FlareMACCCO2e,GD_VentMACCCO2e,ReciCompMACCCO2e,ScrewCompMACCCO2e,LowestSiteWideOption,LowestSepEquipCost_npv,LowestSepEquipCost_co2enpv,LowestSeparateEquipCostOption,Lowest CO2e abatement cost value,volumereductionstCO2e/y
0,LowestSeparateEquipCostOption,"(-10.001, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LowestSeparateEquipCostOption,"(0.0, 10.0]",29822055.3,398870.10000000003,32107225.7,17423.6,17648.3,300.0,0.0,1007706.3,0.0,0.0,24952.0,31.0,1615.3474575039215,-3520.014595313887,148257.3658223187,397283.2633661936,86518.04243519325,1126.7620710391673,2161.3457440569077,58.86910922951531,153116.0,17063876.0,20709307.0,4699884.1238400005,6284672.0,479691.5292908071,0.0,397.601384,772.696997827089,69,52,579.8304694943654,502.08678506036046,46.52804128897388,0.051838544491430494,77.1474942533755,10.309062056445638,80.01767244498909,0.03697562784618169,101.10991838605763,202.1269770066814,7.580444299394025,1.1000110443432594,154.93195292782502,12905256.3,2090396.4,34500,5520,124012929.79896675,15300160.152863292,34664299389034.746,3466429938903.4746,9791134.5,0.0,7783420.8,744827.4,9449732.9,79731.8,17208531.0,550675.2000000001,5111333.7,81551.1,9103418.4,7317284.4,0.0,69,69,69,289.9152347471827,324,0,0,207.08231053370193,245,644.2560772159616,677,144.95761737359135,4445,52976,31685283.344671663,8437124.5023752,334167.37276132166,31075784.044671666,8401624.083996108,334167.37276132166,0.0,0.0,0.0,0.0,0.0,0.0,53689910.25732349,22986373.704153247,821331.1298400692,51216060.157323495,22842283.77073222,821331.1298400692,19336547.22314416,8612050.510162033,340987.11506257317,0.0,0.0,0.0,0.0,0.0,0.0,85.26366347803098,83.65916000361305,0.0,0.0,283.2462994241415,273.1228548494247,41.90477580520846,0.0,0.0,2151.882913927412,2091.2357672873372,0.0,0.0,7919.552992640455,7491.2809906436205,1058.3568408009974,0.0,0.0,895973.9700000001,139767.09,358390.13999999996,55907.25,627182.055,97837.16999999998,6392894.160000001,1677208.53,5114315.1899999995,1341766.41,5753604.675000001,1509487.4699999997,291342.15,76435.44,101528.67,25478.25,196435.41000000003,50956.845,1677425.19,17657.100000000002,1368425.94,17657.100000000002,1522925.565,17657.100000000002,662141.25,178348.44,105942.6,25478.25,384041.925,101913.345,70628.40000000001,12739.47,22071.72,2548.17,46350.06,7643.82,291342.15,76435.44,101528.67,25478.25,196435.41000000003,50956.845,11146076.459999999,689470.08,4297518.72,17501.850000000002,7721797.59,353485.96499999997,10152835.95,1910878.41,5297131.38,764350.95,7724983.665,1337614.6800000002,6533129.07,10240.98,2776580.01,10240.98,4654854.54,10240.98,9799693.95,264856.5,4899846.63,88285.5,1959938.79,44142.75,390.7304273304063,0,0,22,1228349.1114972369,1744307.4795319126,62296.69569756831,15028751.729635378,2186.3193286649894,78.08283316660676,1010255.3123193325,439182.22494175954,15685.079462205696,509543.16359749204,3286604.347647204,117378.72670168585,509543.16359749204,1575.2197840298438,56.257849429637275,1631420.8008421375,8610926.483563388,307533.08869869245,14002914.208228635,16645729.503599212,594490.3394142576,4717780.9288381785,16645729.503599212,594490.3394142576,9893815.822867276,291293.5243036046,11533.529485398578,55191664.185064994,322938.82559116016,11533.529485398578,111.35929910537813,37.51853148249763,3660762.440356454,12338288.275936382,39.6792146114313,,,106.31478547249421,,267.129202945518,30868697.592838064,18683516.826763395,215.9652480848301,215.9652480848301,328.3000888942543
2,LowestSeparateEquipCostOption,"(10.0, 20.0]",2929101.1,62282.5,2951070.5,5275.099999999999,414.0,0.0,0.0,14307.4,0.0,0.0,5421.0,7.0,376.8237988599834,-819.6921351572317,15911.847237664402,89234.98692794032,20791.51673025418,217.1088158694421,398.1393569918652,12.71410622801915,0.0,855403.0,1491365.0,58359.816,31047.0,75754.98218157863,0.0,4.8566,187.82098192323542,15,15,13.601866149751945,11.554505065220411,1.0107695897189133,0.0,2.1381991537210503,0.12205088198165251,1.1796959536655893,0.0,2.6229193819735186,5.137353096484633,0.5070969682354742,0.022148754147955876,3.4845517517966775,2805490.5,454434.0,7500,1200,5936563.385255126,1642102.6349269664,643697472513.6805,64369747251.36806,2128507.5,0.0,1692048.0,161919.0,1197115.5000000002,5181.0,3740985.0,119712.0,1111159.5,17728.5,1979004.0,1590714.0,0.0,15,15,15,6.800933074875973,15,6,0,4.857809339197124,15,15.113184610835495,24,3.4004665374379863,110,1249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8837457.7081138,537108.933764946,19267.073188567094,8299664.208113801,505785.0351951573,19267.073188567094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.4411809811002,252.56705875423393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7035.787866781176,6607.632948578872,0.0,0.0,0.0,194776.95,30384.149999999998,77910.9,12153.75,136343.92500000002,21268.949999999997,1389759.6,364610.55,1111807.65,291688.35,1250783.6250000002,328149.44999999995,63335.25000000001,16616.4,22071.45,5538.75,42703.350000000006,11077.575,364657.64999999997,3838.5,297483.89999999997,3838.5,331070.77499999997,3838.5,143943.75,38771.4,23031.0,5538.75,83487.375,22155.075,15354.0,2769.45,4798.2,553.95,10076.1,1661.7,63335.25000000001,16616.4,22071.45,5538.75,42703.350000000006,11077.575,2423060.1,149884.8,934243.2,3804.75,1678651.65,76844.775,2207138.25,415408.35,1151550.3,166163.25,1679344.2750000001,290785.80000000005,1420245.45,2226.2999999999997,603604.3499999999,2226.2999999999997,1011924.9,2226.2999999999997,2130368.25,57577.5,1065184.05,19192.5,426073.65,9596.25,10.020522514160854,0,0,15,267032.41554287757,37893.12652299244,1353.32594724973,3267119.941225082,0.0,0.0,219620.72006942012,5199.559146245684,185.69854093734588,110770.25295597652,91090.64011431193,3253.2371469397117,110770.25295597652,0.0,0.0,354656.6958352473,218859.3056159625,7816.403771998661,3044111.7843975294,426889.98754223034,15246.070983651083,1025604.5497474303,426889.98754223034,15246.070983651083,2150829.5267102774,19486.20123134372,771.5402427754273,11998187.866318477,21603.12679771196,771.5402427754273,110.47043139476773,37.219059310418366,795817.9218166204,315149.5048765201,39.07920103828696,,,109.28873195231398,,251.37408521196545,6710586.433225666,484269.31529656646,215.28479868718318,215.28479868718318,0.0
3,LowestSeparateEquipCostOption,"(20.0, 30.0]",232148.2,7870.8,243215.6,500.2,221.7,10.6,0.0,1025.1000000000001,0.0,0.0,4699.0,10.0,540.5327430606794,-1177.1978806704933,14633.469717361078,78894.97188745516,13180.926772488774,214.54235204667805,421.74799540420764,10.760860008349932,82680.0,561152.0,470433.0,184709.99839999998,227627.0,39387.71337095127,0.0,2.33984,236.29861546499478,13,13,7.283897887439629,6.032015843955056,0.5548219196874749,0.0,1.0875116452072942,0.08596372216496198,0.7544244111230874,0.0,1.3602457445273304,2.68283565273556,0.21402113562442268,0.012505370162600246,1.8918140307342273,2431425.1,393842.8,6500,1040,4308082.484072632,1510174.0748316634,505084633928.4883,50508463392.84883,1844706.5,0.0,1466441.5999999999,140329.80000000002,1037500.1000000001,4490.2,2647370.4,98513.0,651880.1,15364.7,1715136.8,1378618.8,0.0,13,13,13,3.6419489437198145,13,13,3,2.6013921026570106,13,8.09321987493292,13,1.8209744718599072,61,670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7348005.213698627,286841.1712043267,10317.65730895006,6881917.513698627,259693.79244384318,10317.65730895006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.8385344131809,353.3693681310801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9444.545930143002,8842.238942821965,0.0,0.0,0.0,168806.69,26332.93,67522.78,10533.25,118164.73500000002,18433.089999999997,1204458.3200000003,315995.81,963566.6299999999,252796.57,1084012.475,284396.18999999994,54890.55,14400.88,19128.59,4800.25,37009.57000000001,9600.565,316036.63,3326.7000000000003,257819.37999999998,3326.7000000000003,286928.005,3326.7000000000003,124751.25,33601.880000000005,19960.2,4800.25,72355.72499999999,19201.065000000002,13306.800000000001,2400.19,4158.44,480.09,8732.62,1440.14,54890.55,14400.88,19128.59,4800.25,37009.57000000001,9600.565,2099985.42,129900.16,809677.44,3297.4500000000003,1454831.43,66598.805,1912853.15,360020.57,998010.26,144008.15,1455431.705,252014.36000000002,1230879.39,1929.4599999999998,523123.7699999999,1929.4599999999998,877001.5800000001,1929.4599999999998,1846319.15,49900.5,923159.51,16633.5,369263.83,8316.75,5.216556764635147,0,0,13,231428.0934704939,20799.9304829636,742.8546601058429,2831503.949061738,0.0,0.0,190337.95739349743,3662.1894948316954,130.79248195827483,96000.88589517966,46329.703068727606,1654.6322524545571,96000.88589517966,0.0,0.0,307369.1363905477,114293.00984610812,4081.893208789576,2638230.2131445254,222233.50619904487,7936.910935680175,888857.2764477729,222233.50619904487,7936.910935680175,1864052.2564822403,8224.18428382641,325.6298682149925,10398429.48414268,9117.636310019789,325.6298682149925,155.45396055835198,52.37464998561397,689708.8655744044,164284.90240966744,54.99137363980216,,,153.70144854638264,,339.8385344131809,5815841.575462244,251257.62096583488,302.9606588901452,302.9606588901452,0.0
4,LowestSeparateEquipCostOption,"(30.0, 50.0]",98230.5,1712.4,99108.0,301.1,155.7,39.3,0.0,675.4,0.0,0.0,6120.0,15.0,590.8453510589127,-1283.8298269975794,9414.050036032326,68726.44317533915,13843.03085978836,174.82545935545934,324.77005441126613,14.000775918384,18618.0,600754.0,680382.0,18514.0,58187.0,0.0,0.0,0.0,189.83531746031736,17,17,5.115484443276276,4.2379016275787995,0.39432604227068135,0.01387896957779718,0.9230937935208707,0.02979496006747052,0.16810225169326612,0.009899653221975419,1.1062461256531508,2.012265337596406,0.2594878266374579,0.006834371134980131,1.2978012375553696,3179555.9000000004,515025.19999999995,8500,1360,3617327.2028023144,971529.9637185361,276971338800.98126,27697133880.098125,2412308.5,0.0,1917654.4,183508.2,1356730.9000000001,5871.799999999999,869155.6000000001,105995.0,503725.30000000005,20092.300000000003,2242871.2,1802809.2000000002,0.0,17,17,17,2.557742221638138,17,17,17,1.826958729741527,17,5.683871603640306,17,1.278871110819069,45,475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9260196.602528974,200205.660080364,7246.094916569798,8650697.302528976,164705.2417012702,7246.094916569798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.4131559724966,930.3938227428505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22319.62237563124,20850.561318061864,0.0,0.0,0.0,220747.21000000002,34435.369999999995,88299.01999999999,13774.25,154523.11500000002,24104.809999999998,1575060.8800000004,413225.29,1260048.67,330580.13,1417554.7750000001,371902.70999999996,71779.95000000001,18831.92,25014.31,6277.25,48397.130000000005,12554.585,413278.67,4350.3,337148.42,4350.3,375213.545,4350.3,163136.25,43940.920000000006,26101.800000000003,6277.25,94619.025,25109.085000000003,17401.2,3138.71,5437.96,627.81,11419.58,1883.26,71779.95000000001,18831.92,25014.31,6277.25,48397.130000000005,12554.585,2746134.78,169869.44,1058808.96,4312.05,1902471.87,87090.745,2501423.3499999996,470796.13,1305090.34,188318.34999999998,1903256.845,329557.24,1609611.51,2523.14,684084.9299999999,2523.14,1146848.22,2523.14,2414417.3499999996,65254.5,1207208.59,21751.5,482883.47,10875.75,4.0812998700598735,0,0,17,302636.7376152613,14783.03934255591,527.9656908055682,3702735.9333884264,585.3532298714044,20.905472495407306,248903.48274534277,1269.3120657180498,45.33257377564465,125539.6200167734,39325.24451290395,1404.4730183179981,125539.6200167734,421.7407659759536,15.062170213426915,401944.25527994696,85725.66187883347,3061.63078138691,3449993.355650533,173869.78056521717,6209.635020186327,1162351.8230470875,173869.78056521717,6209.635020186327,2437606.796938314,9971.331567089053,394.8067397400913,13597946.248494273,11054.588712722556,394.8067397400913,345.2428715903185,116.31723305488802,901926.9780588365,126741.95922343143,123.7929470597877,,,388.7236172585461,,808.4131559724966,7605331.290989089,199209.50470473352,665.6322207342248,665.6322207342248,87.89727780464018
5,LowestSeparateEquipCostOption,"(50.0, 100.0]",58391.7,1653.4,67523.7,151.6,155.2,10.7,0.0,3664.1,0.0,0.0,11856.0,32.0,1184.7555742799734,-2570.0056887747796,28622.4775204839,142281.5449770253,17938.999681337184,343.36946248196244,621.2219293515127,27.077785227577362,8098.0,669556.0,840651.0,568954.0,135376.0,0.0,0.0,0.0,402.35392156862736,33,33,5.09905706869928,4.188519878197308,0.3756207125042357,0.007473291311121558,0.9320491707137508,0.01604344003633028,0.1700022770370435,0.00533058250414061,1.1020476449944667,2.0559974990710823,0.24617550719670436,0.0068967958145416675,1.2834677925103293,6172079.100000001,999754.7999999999,16500,2640,5844728.604752028,2953839.6801139386,761737615275.3319,76173761527.5332,4682716.5,0.0,3722505.6,356221.8,2633654.1000000006,11398.199999999999,1687184.4000000001,205755.0,977819.7000000001,39002.700000000004,4353808.8,3499570.8000000003,0.0,33,33,33,2.54952853434964,33,33,33,1.821091810249743,33,5.665618965221422,33,1.27476426717482,55,477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17975675.75785036,197027.0599933249,7222.8255045063115,16792530.057850365,128114.48313978978,7222.8255045063115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3126.0529337001835,4737.734679319109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85109.7367758327,79507.8767706264,0.0,0.0,0.0,428509.29000000004,66845.12999999999,171403.97999999998,26738.25,299956.635,46791.689999999995,3057471.1200000006,802143.21,2445976.8299999996,641714.37,2751723.9750000006,721928.7899999999,139337.55000000002,36556.08,48557.19,12185.25,93947.37000000001,24370.665,802246.83,8444.7,654464.58,8444.7,728355.705,8444.7,316676.25,85297.08,50668.200000000004,12185.25,183672.225,48741.165,33778.8,6092.79,10556.039999999999,1218.69,22167.420000000002,3655.7400000000002,139337.55000000002,36556.08,48557.19,12185.25,93947.37000000001,24370.665,5330732.22,329746.56,2055335.0399999998,8370.45,3693033.63,169058.50499999998,4855704.149999999,913898.37,2533410.66,365559.14999999997,3694557.4050000003,639728.76,3124539.9899999998,4897.86,1327929.5699999998,4897.86,2226234.7800000003,4897.86,4686810.149999999,126670.5,2343404.91,42223.5,937362.03,21111.75,4.111468337319771,0,28,33,587471.3141943307,14081.788103199438,502.9210036856942,7187663.870695181,315.1902006999871,11.256792882142395,483165.58415272424,683.4757276943345,24.409847417654806,243694.55650314837,39706.75763788341,1418.0984870672648,243694.55650314837,227.09118167935952,8.110399345691413,780244.7308375441,87588.72060064532,3128.16859288019,29426413.915842775,175155.0046235979,6255.53587941421,2256330.0094443467,175155.0046235979,6255.53587941421,4731824.95876261,9459.779434602242,374.5522503295894,26396013.30590065,10487.463009228502,374.5522503295894,5956.911479525644,439.9006631828659,1750799.427996565,128206.04514790242,466.12457075506256,,,1498.2806683674492,,3126.0529337001835,14763290.153096465,199011.76236209957,2534.207342613119,2534.207342613119,47.32930343326779
